	text	label
0	So there is no way for me to plug it in here in the US unless I go by a converter.	0
1	Good case, Excellent value.	1
2	Great for the jawbone.	1
3	Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!	0
4	The mic is great.	1
5	I have to jiggle the plug to get it to line up right to get decent volume.	0
6	If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.	0
7	If you are Razr owner...you must have this!	1
8	Needless to say, I wasted my money.	0
9	What a waste of money and time!.	0
10	And the sound quality is great.	1
11	He was very impressed when going from the original battery to the extended battery.	1
12	If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.	0
13	Very good quality though	1
14	"The design is very odd, as the ear ""clip"" is not very comfortable at all."	0
15	Highly recommend for any one who has a blue tooth phone.	1
16	I advise EVERYONE DO NOT BE FOOLED!	0
17	So Far So Good!.	1
18	Works great!.	1
19	It clicks into place in a way that makes you wonder how long that mechanism would last.	0
20	I went on Motorola's website and followed all directions, but could not get it to pair again.	0
21	I bought this to use with my Kindle Fire and absolutely loved it!	1
22	The commercials are the most misleading.	0
23	I have yet to run this new battery below two bars and that's three days without charging.	1
24	I bought it for my mother and she had a problem with the battery.	0
25	Great Pocket PC / phone combination.	1
26	I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.	1
27	I didn't think that the instructions provided were helpful to me.	0
28	People couldnt hear me talk and I had to pull out the earphone and talk on the phone.	0
29	Doesn't hold charge.	0
30	This is a simple little phone to use, but the breakage is unacceptible.	0
31	This product is ideal for people like me whose ears are very sensitive.	1
32	It is unusable in a moving car at freeway speed.	0
33	I have two more years left in this contract and I hate this phone.	0
34	Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended	1
35	You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.	0
36	It has kept up very well.	1
37	Poor Talk Time Performance.	0
38	The case is great and works fine with the 680.	1
39	worthless product.	0
40	It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.	1
41	I was not impressed by this product.	0
42	Nice headset priced right.	1
43	I only hear garbage for audio.	0
44	Excellent bluetooth headset.	1
45	It has all the features I want	1
46	Who in their right mind is gonna buy this battery?.	0
47	AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.	0
48	This case seems well made.	1
49	Disappointed with battery.	0
50	Not loud enough and doesn't turn on like it should.	0
51	good protection and does not make phone too bulky.	1
52	A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.	1
53	This phone is pretty sturdy and I've never had any large problems with it.	1
54	I love this thing!	1
55	Everything about it is fine and reasonable for the price i.e.	1
56	VERY DISAPPOINTED.	0
57	I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!	1
58	I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.	1
59	The buttons for on and off are bad.	0
60	Essentially you can forget Microsoft's tech support.	0
61	I really recommend this faceplates since it looks very nice, elegant and cool.	1
62	These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.	1
63	Buy a different phone - but not this.	0
64	You have to hold the phone at a particular angle for the other party to hear you clearly.	0
65	The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.	0
66	A week later after I activated it, it suddenly died.	0
67	It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.	1
68	Great for iPODs too.	1
69	This device is great in several situations:1.)	1
70	Mic Doesn't work.	0
71	Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.	0
72	Great choice!	1
73	Nice docking station for home or work.	1
74	This is a beautiful phone.	1
75	Love this product.	1
76	Do Not Buy for D807...wrongly advertised for D807.	0
77	This is a great little item.	1
78	I love this phone , It is very handy and has a lot of features .	1
79	I purchased this and within 2 days it was no longer working!!!!!!!!!	0
80	I wear it everyday and it holds up very well.	1
81	Not a good bargain.	0
82	Well packaged, arrived on time, and works as intended.	1
83	The battery runs down quickly.	0
84	This item worked great, but it broke after 6 months of use.	0
85	The headsets are easy to use and everyone loves them.	1
86	This phone works great.	1
87	The construction of the headsets is poor.	0
88	Product was excellent and works better than the verizon one and Boy was it cheaper!	1
89	The phone loads super!	1
90	For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.	0
91	Made very sturdy.	1
92	Worked great!.	1
93	The ear buds only play music in one ear.	0
94	Dont waste your money...	0
95	Will order from them again!	1
96	If you plan to use this in a car forget about it.	0
97	I found this product to be waaay too big.	0
98	Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.	1
99	I'm very disappointed with my decision.	0
100	Integrated seamlessly with the Motorola RAZR phone.	1
101	Buyer Beware, you could flush money right down the toilet.	0
102	Definitely a bargain.	1
103	The price was very good and with the free shipping and all it was a good purchase.	1
104	I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.	0
105	Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.	1
106	That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).	0
107	I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.	1
108	The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.	0
109	I purcashed this for the car charger and it does not work.	0
110	Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.	1
111	This phone is slim and light and the display is beautiful.	1
112	its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.	1
113	Great product, fast shipping!.	1
114	Absolutely great.	1
115	The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.	1
116	i got this phone around the end of may and i'm completely unhappy with it.	0
117	It is very comfortable on the ear.	1
118	It has been a winner for us.	1
119	)Setup couldn't have been simpler.	1
120	I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.	1
121	Could not get strong enough signal.	0
122	Iam very pleased with my purchase.	1
123	Bad Quality.	0
124	Gets the job done.	1
125	Great audio!.	1
126	Basically the service was very bad.	0
127	it did not work in my cell phone plug i am very up set with the charger!.	0
